Epoch: 1, total error: 1.0627836966476396
Epoch: 2, total error: 1.0431172545162042
Epoch: 3, total error: 1.036222382687995
Epoch: 4, total error: 1.0354881890407943
Epoch: 5, total error: 1.0324188985194838
Epoch: 6, total error: 1.0327628491563017
Epoch: 7, total error: 1.0345241442087496
Epoch: 8, total error: 1.0337130237534242
Epoch: 9, total error: 1.0321074005414463
Epoch: 10, total error: 1.0317551314468925
Epoch: 11, total error: 1.032144746895832
Epoch: 12, total error: 1.032696068448145
Epoch: 13, total error: 1.0331961426229075
Epoch: 14, total error: 1.0332665861664159
Epoch: 15, total error: 1.0329483158877661
Epoch: 16, total error: 1.0326987827642584
Epoch: 17, total error: 1.0327408170016705
Epoch: 18, total error: 1.0329563926699794
Epoch: 19, total error: 1.0331584158792406
Epoch: 20, total error: 1.0332278718673822
Epoch: 21, total error: 1.0331622427898204
Epoch: 22, total error: 1.0330594792949253
Epoch: 23, total error: 1.03301042480385
Epoch: 24, total error: 1.0330230557235134
Epoch: 25, total error: 1.0330487190442073
Epoch: 26, total error: 1.033044095724098
Epoch: 27, total error: 1.0330058811789253
Epoch: 28, total error: 1.0329674795607713
Epoch: 29, total error: 1.0329708320261943
Epoch: 30, total error: 1.033039201189624
Epoch: 31, total error: 1.033170773114957
Epoch: 32, total error: 1.0333491789896045
Epoch: 33, total error: 1.033554113131912
Epoch: 34, total error: 1.033761467793034
Epoch: 35, total error: 1.03393344895033
Epoch: 36, total error: 1.0340045247536256
Epoch: 37, total error: 1.0338670316913288
Epoch: 38, total error: 1.0333532099984246
Epoch: 39, total error: 1.03220275580483
Epoch: 40, total error: 1.0299995868867358
Epoch: 41, total error: 1.0260593957308854
Epoch: 42, total error: 1.0192577501164712
Epoch: 43, total error: 1.007835898178788
Epoch: 44, total error: 0.9893640694177261
Epoch: 45, total error: 0.9612364625985832
Epoch: 46, total error: 0.9216717785734854
Epoch: 47, total error: 0.8690828052319995
Epoch: 48, total error: 0.7969119891467449
Epoch: 49, total error: 0.6914188970053832
Epoch: 50, total error: 0.5548649111517846
Epoch: 51, total error: 0.42385665061599337
Epoch: 52, total error: 0.32547397314258475
Epoch: 53, total error: 0.2580132852751986
Epoch: 54, total error: 0.2119690312874866
Epoch: 55, total error: 0.180202587464932
Epoch: 56, total error: 0.15797004026912356
Epoch: 57, total error: 0.14208982682742596
Epoch: 58, total error: 0.13046276711760416
Epoch: 59, total error: 0.12171813271841934
Epoch: 60, total error: 0.11495625642613945
Epoch: 61, total error: 0.10957948512807146
Epoch: 62, total error: 0.1051859081369965
Epoch: 63, total error: 0.10150236957940224
Epoch: 64, total error: 0.09834142606665636
Epoch: 65, total error: 0.0955731840691734
Epoch: 66, total error: 0.09310664807215949
Epoch: 67, total error: 0.09087727786160092
Epoch: 68, total error: 0.08883864816248649
Epoch: 69, total error: 0.08695683432991488
Epoch: 70, total error: 0.08520661498369436
Epoch: 71, total error: 0.08356888887468149
Epoch: 72, total error: 0.08202890610969765
Epoch: 73, total error: 0.08057504822847615
Epoch: 74, total error: 0.07919798041217477
Epoch: 75, total error: 0.07789005765868305
Epoch: 76, total error: 0.07664490541005801
Epoch: 77, total error: 0.07545712073855051
Epoch: 78, total error: 0.07432205730605625
Epoch: 79, total error: 0.07323566883803999
Epoch: 80, total error: 0.07219439368740858
Epoch: 81, total error: 0.07119506842829729
Epoch: 82, total error: 0.07023486211185577
Epoch: 83, total error: 0.06931122536439126
Epoch: 84, total error: 0.06842185026874253
Epoch: 85, total error: 0.06756463818592706
Epoch: 86, total error: 0.06673767351399422
Epoch: 87, total error: 0.06593920196119961
Epoch: 88, total error: 0.06516761231205061
Epoch: 89, total error: 0.06442142094346158
Epoch: 90, total error: 0.06369925854283082
Epoch: 91, total error: 0.06299985861680055
Epoch: 92, total error: 0.06232204747685794
Epoch: 93, total error: 0.06166473545810635
Epoch: 94, total error: 0.06102690917883533
Epoch: 95, total error: 0.06040762468662423
Epoch: 96, total error: 0.059806001365513374
Epoch: 97, total error: 0.05922121650089721
Epoch: 98, total error: 0.05865250041607951
Epoch: 99, total error: 0.058099132108137316
Epoch: 100, total error: 0.05756043532177008
Epoch: 101, total error: 0.05703577500879233
Epoch: 102, total error: 0.05652455412832778
Epoch: 103, total error: 0.05602621074891638
Epoch: 104, total error: 0.05554021541890437
Epoch: 105, total error: 0.05506606877584504
Epoch: 106, total error: 0.05460329936933748
Epoch: 107, total error: 0.054151461674894256
Epoch: 108, total error: 0.05371013427914335
Epoch: 109, total error: 0.05327891821900341
Epoch: 110, total error: 0.052857435459500265
Epoch: 111, total error: 0.052445327496639875
Epoch: 112, total error: 0.0520422540732868
Epoch: 113, total error: 0.05164789199732674
Epoch: 114, total error: 0.0512619340525567
Epoch: 115, total error: 0.0508840879937747
Epoch: 116, total error: 0.05051407561843321
Epoch: 117, total error: 0.05015163190802184
Epoch: 118, total error: 0.049796504233036255
